State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	4.73620	4.77769	4.82596	4.87650	4.87273	4.85236	4.82747	4.79277	4.74827	4.62834	4.45485	4.31153	4.13503	3.92684	3.69905	3.51576	3.36867	3.21856	3.03603	2.91534	2.81125
2	1.96186	1.96566	1.95914	1.93527	1.97163	1.99062	2.00907	1.99985	2.02156	2.10622	2.22235	2.26903	2.37214	2.47579	2.57402	2.60821	2.61907	2.62775	2.65760	2.66031	2.62341
3	1.14862	1.11286	1.09986	1.10311	1.07493	1.05543	1.04459	1.04134	1.02400	0.98716	0.97416	0.95682	0.93840	0.91998	0.91564	0.91889	0.90481	0.91673	0.91456	0.90372	0.88097
4	3.25222	3.31510	3.31510	3.25920	3.30112	3.32208	3.31859	3.31510	3.28016	3.14742	3.00070	2.87495	2.63741	2.54309	2.41733	2.37890	2.42781	2.48370	2.51165	2.47322	2.55007
5	1.47209	1.44382	1.42968	1.45997	1.47209	1.51651	1.55892	1.58517	1.62960	1.61950	1.62152	1.64373	1.59931	1.65383	1.61546	1.68008	1.71845	1.66998	1.69018	1.64777	1.71643
6	3.75386	3.73792	3.61040	3.47491	3.32348	3.23182	3.15611	3.06445	3.04851	3.03257	2.95686	2.96483	3.03257	3.03656	3.15212	3.15611	3.05648	3.02062	2.98077	3.02062	2.96084
7	0.77199	0.76665	0.76732	0.76765	0.76665	0.75298	0.74097	0.75365	0.74931	0.76032	0.77232	0.78766	0.80967	0.82167	0.84502	0.86669	0.88837	0.91405	0.93739	0.95640	0.96940
8	0.49559	0.49535	0.49498	0.49394	0.49266	0.49364	0.49339	0.49382	0.49565	0.49761	0.50372	0.51056	0.51562	0.51978	0.52399	0.53034	0.53926	0.54756	0.55575	0.56460	0.57340
9	1.08671	1.08573	1.08647	1.08647	1.09236	1.09310	1.09776	1.09629	1.09678	1.10071	1.09580	1.08671	1.07984	1.07738	1.07984	1.07762	1.07664	1.07026	1.06461	1.05798	1.05749
10	1.81534	1.78948	1.78948	1.91877	1.83602	1.97566	2.12565	2.32218	2.36356	2.37907	2.23426	2.34804	2.41528	2.45148	2.46182	2.43596	2.29632	2.30667	2.30667	2.36873	2.39459
