State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	0.63049	0.57856	0.53395	0.51398	0.49201	0.46804	0.44674	0.43608	0.44474	0.45805	0.49068	0.50932	0.51265	0.53728	0.52929	0.53928	0.55193	0.56924	0.60253	0.64847	0.73502
2	0.99395	0.93408	0.87324	0.80857	0.73241	0.67349	0.62607	0.59877	0.58535	0.57721	0.54847	0.54320	0.57625	0.58344	0.61553	0.63900	0.69026	0.76307	0.87659	1.01311	1.14724
3	0.80150	0.68481	0.61308	0.56717	0.54517	0.51170	0.49831	0.50117	0.50500	0.51456	0.51935	0.52222	0.51839	0.50213	0.49926	0.50691	0.53369	0.59204	0.75559	0.97939	1.32084
4	8.64870	8.98787	9.04953	8.62712	7.49862	5.78430	3.61365	2.38032	1.78216	1.53241	1.54474	1.68657	2.08124	3.91273	9.01562	16.34157	22.11046	25.23694	26.40243	26.14960	24.87927
5	3.24211	3.78394	4.58778	5.50392	6.09922	6.29350	5.71780	4.03525	2.52916	2.38301	2.16735	1.59699	1.61660	1.87860	2.16200	2.79295	3.28310	3.58432	3.41321	3.04783	2.69136
6	4.64993	5.59258	7.15428	9.85912	14.60753	21.70201	30.82601	39.38722	45.13105	46.28473	47.26959	48.54639	47.48767	44.22005	36.80901	25.97911	16.76015	10.63293	6.98896	4.86800	3.74949
7	2.03712	1.97737	1.86404	1.69333	1.47257	1.19119	0.90274	0.70465	0.60928	0.57278	0.55130	0.54482	0.56336	0.57985	0.60457	0.64136	0.67992	0.72496	0.77058	0.82532	0.85505
8	0.49668	0.49199	0.48223	0.47156	0.46223	0.45269	0.44407	0.43835	0.43280	0.42924	0.42908	0.43027	0.43350	0.43512	0.43571	0.43749	0.43959	0.44223	0.44450	0.44606	0.44800
9	1.34221	1.32053	1.30471	1.27089	1.23664	1.19242	1.13390	1.08166	1.04372	1.02053	1.01251	1.02400	1.03223	1.04719	1.08209	1.10767	1.13281	1.15276	1.17638	1.19242	1.20543
10	2.06793	2.21857	2.18662	2.19119	2.09076	1.91272	1.85794	1.85794	1.94468	2.48791	2.28705	1.54752	1.23254	1.22341	1.15494	1.15950	1.31928	1.43797	1.39232	1.45166	1.29645
