State (Emission order)	Genome %	CpGIsland.hg19.bed.gz	RefSeqExon.hg19.bed.gz	RefSeqGene.hg19.bed.gz	RefSeqTES.hg19.bed.gz	RefSeqTSS.hg19.bed.gz	RefSeqTSS2kb.hg19.bed.gz	laminB1lads.hg19.bed.gz
1	4.60937	0.72807	5.41148	2.23236	4.45381	0.49069	0.58124	0.30041
2	6.40651	0.79106	1.86080	2.02669	2.22259	0.54849	0.77719	0.37818
3	3.20857	0.46597	1.24767	2.26925	0.97426	0.51936	0.64300	0.17685
4	0.99529	1.27967	2.72957	2.20213	2.99752	1.54479	8.70306	0.24196
5	1.72177	1.69895	1.28804	1.01768	1.62169	2.16741	3.40757	0.68987
6	0.87248	47.94983	7.11353	1.43931	2.95717	47.26752	21.97130	0.28799
7	10.42610	0.57308	0.61842	0.71341	0.77240	0.55131	1.00748	0.84845
8	56.93038	0.44679	0.45331	0.72204	0.50377	0.42909	0.47888	1.20633
9	14.15728	0.75807	1.02278	1.06071	1.09591	1.01254	1.24204	1.12259
10	0.67225	2.83192	1.86940	1.01867	2.23449	2.28712	1.82889	0.78750
Base	100	0.6832847744	2.4487802305	42.0774209923	0.0009290009	0.0010525920	3.4107529258	36.8568410921
