State (Emission order)	H3K36me3	H4K20me1	H3K79me2	H3K04me1	K27ac	H3K04me3	H2AFZ	EZH2	H3K27me3	CTCF
1	0.7885906722928369	0.06408303622839447	0.03958791661598038	0.0033315776313632734	0.01377938559312804	0.001377476032086591	1.5745340611114287E-4	0.0222309236625427	7.205817006833144E-5	0.019339792784151308
2	0.08014144917179733	0.036141944463283344	0.027300022905282433	0.0014205288739611742	0.002874894820778138	0.0021833449112671228	1.5813746020035152E-4	0.01830482013548042	3.1826033469278207E-4	0.001580908703681982
3	0.36908320662132654	0.45520602578559716	0.854861703023257	0.041688960865336265	0.030259164140312364	5.497465161716036E-4	1.2656833295746566E-4	0.0221377096624015	1.3172575192693816E-4	0.01314387557802601
4	0.39808997229794196	0.4750375776493516	0.9480438353688779	0.9204631702055318	0.41484074919146424	0.40045296582484247	0.006728321918587656	0.03373373086466256	3.107642379754606E-4	0.037774699023170766
5	0.02665749812004583	0.02447490880480951	0.02189296053145264	0.8760219066183682	0.4778869063392073	0.031199100145245448	0.1933411261888973	0.053155547216709995	0.01793501737441958	0.05305862903746713
6	0.012042473695435438	0.07815950822374425	0.43857047877609623	0.6140464727831589	0.7796364944089522	0.9930515710367974	0.8033745452475997	0.1352911242729253	0.042096913053705734	0.23524370637804873
7	0.0019517013681897707	5.351132102204958E-4	7.913913859164324E-5	0.003948179566980129	0.006706174941309632	2.706452440092173E-4	0.03109512399159349	0.027805503708815932	0.0010765826962140601	0.001816657483009792
8	1.8188508107966296E-4	6.087879846722424E-4	5.849356514032007E-6	1.1744317461874987E-4	6.051309731409026E-6	3.935163434405199E-5	0.0021791104522140207	0.025088606353467425	0.004598084117507753	4.895753247966832E-4
9	2.961602870543408E-5	0.015550410562281007	1.682930089581298E-5	9.177642908301171E-4	6.730314294143252E-5	6.238254365951953E-5	0.004987046372692082	0.08210258384911003	0.19414389094171897	0.0017082162594559103
10	0.012555867144702778	0.04997090681068865	0.0017461046007970309	0.06923182977666122	0.009271293324410165	0.004013595950741983	0.06778087543133932	0.07809729234126472	0.06514144035341224	0.9172707551239827
